연번,구분,관광지명,방문객수(16.12말기준),시설규모(㎡),2015년,2016년,2017년,비고
1,제주특별자치도,4.3평화공원,201008 ,11455 ,9 ,9 ,8 ,
2,제주특별자치도,너븐숭이,19936 ,2532 ,3 ,3 ,2 ,
3,제주특별자치도,제주돌문화공원,230236 ,969731 ,9 ,22 ,13 ,
4,제주특별자치도,교래자연휴양림 ,115989 ,2300000 ,4 ,5 ,5 ,
5,제주특별자치도,민속자연사박물관,876174 ,6719 ,9 ,10 ,8 ,
6,제주특별자치도,항일기념관,151731 ,1757 ,4 ,4 ,4 ,
7,제주특별자치도,해녀박물관,163068 ,4958 ,4 ,5 ,5 ,
8,제주특별자치도,농업생태원,133526 ,80733 ,3 ,3 ,3 ,
9,제주특별자치도,김만덕기념관,65772 ,2903 ,4 ,5 ,5 ,
10,제주특별자치도,김만덕객주터,38225 ,2146 ,0 ,4 ,4 ,
11,제주특별자치도,삼양선사유적지,44479 ,18364 ,4 ,4 ,3 ,
12,제주특별자치도,제주목관아,183390 ,26660 ,9 ,11 ,10 ,
13,제주특별자치도,항몽유적지,69897 ,1100559 ,9 ,9 ,8 ,
14,제주특별자치도,성읍민속마을,201500 ,75 ,7 ,9 ,8 ,
15,제주특별자치도,제주추사관,69309 ,추사관:1193. 유배지:1449,4 ,6 ,5 ,
16,제주특별자치도,혼인지,40590 ,719 ,2 ,3 ,2 ,
17,제주특별자치도,한란전시관,7388 ,1440 ,0 ,2 ,2 ,
18,제주특별자치도,제주향교,-,-,0 ,0 ,4 ,신규
19,제주특별자치도,국제평화센터,105938 ,2987 ,0 ,0 ,2 ,신규
20,제주특별자치도,저지예술인마을,13547 ,1672440 ,0 ,2 ,4 ,신규
21,제주시,용두암,,3463 ,5 ,6 ,6 ,
22,제주시,우도,,66 ,1 ,1 ,1 ,
23,서귀포시,감귤박물관,89566 ,6436 ,3 ,4 ,3 ,
24,서귀포시,기당미술관,10515 ,11279 ,2 ,3 ,2 ,
25,서귀포시,산방산,514471 ,503935 ,4 ,8 ,6 ,
26,서귀포시,소암기념관,12122 ,1524 ,2 ,3 ,2 ,
27,서귀포시,이중섭미술관,270984 ,5720 ,3 ,4 ,3 ,
28,서귀포시,정방폭포,1069271 ,10529 ,3 ,3 ,2 ,
29,서귀포시,주상절리대,1708300 ,384732 ,4 ,4 ,4 ,
30,서귀포시,쇠소깍,600000 ,53 ,2 ,4 ,3 ,
31,서귀포시,천제연폭포,764528 ,401702 ,4 ,6 ,5 ,
32,서귀포시,천지연폭포,1989344 ,273538 ,3 ,4 ,4 ,
33,서귀포시,예래생태마을,8767 ,2642 ,0 ,2 ,2 ,
