"±¹Àûº°(1)",2006. 06,2006. 05,2006. 04,2006. 03,2006. 02,2006. 01,2005. 12,2005. 11,2005. 10,2005. 09,2005. 08,2005. 07,2005. 06,2005. 05,2005. 04,2005. 03,2005. 02,2005. 01,2004. 12,2004. 11,2004. 10,2004. 09,2004. 08,2004. 07,2004. 06,2004. 05,2004. 04,2004. 03,2004. 02,2004. 01,2003. 12,2003. 11,2003. 10,2003. 09,2003. 08,2003. 07,2003. 06,2003. 05,2003. 04,2003. 03,2003. 02,2003. 01
"±¹Àûº°(1)",°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤
"¾Æ½Ã¾ÆÁÖ",425518,427723,406299,381239,479472,497120,356774,354471,384733,331419,540029,487509,383213,342675,323854,288675,341587,406192,323085,340199,330139,282046,451623,396608,273996,266060,262915,210261,278910,364151,246560,265071,257172,218830,340286,267274,124576,74049,69307,173928,257216,326325
"ÀÏº»",101227,110658,105968,88503,116945,130104,85687,83212,82848,71533,127126,108530,76161,59820,60946,63309,92106,107284,64940,63991,62522,59890,106468,94878,57104,61743,64129,54116,86413,106595,55176,58572,66879,54315,114641,95101,51466,39860,35750,42178,59014,84605
"´ë¸¸",8380,7759,6838,8322,11084,12810,7808,7691,5927,5405,9616,8078,7048,6982,7930,5637,10427,11890,6221,5720,4904,5046,4748,3868,4902,4491,6321,4973,7054,6469,4451,6086,3042,2844,2621,2123,499,247,555,1976,3461,3429
"È«Äá",20445,18544,16659,18439,22465,19858,19926,14616,15529,15541,21652,20330,19542,15701,13126,11443,14793,14270,16622,18188,14349,14593,19086,18272,13911,11906,13150,9161,11113,12882,11100,13081,9163,10511,15230,10163,2986,1536,894,7403,13112,16262
"ÅÂ±¹",52395,55561,54873,61909,74348,85408,59860,56221,54303,42079,63976,60164,52712,41543,33901,33378,36002,31632,64496,76981,61624,47286,65666,55451,50697,54769,41632,31915,41492,74664,59219,60402,48014,35142,46902,43965,24774,7993,8486,36320,52044,70396
"¸»·¹ÀÌ½Ã¾Æ",6117,4601,6397,3596,6907,8146,5767,4974,3738,3767,8615,8228,4501,3653,3985,3330,4918,5094,3502,4176,2884,4430,7739,6116,2652,3747,2738,1834,3960,7377,3179,3450,2963,2156,3611,3212,1104,592,550,1635,2800,5738
"ÇÊ¸®ÇÉ",32139,31985,31565,28854,37692,45619,38857,39456,36857,23465,38487,38995,31067,29005,27522,24472,27517,36148,32417,31327,25238,21014,28603,26343,20719,22713,20627,19287,25312,29964,24581,27452,23404,14501,22900,22475,12107,8486,9401,15425,21768,24479
"ÀÎµµ³×½Ã¾Æ",5867,7422,7242,4866,5928,6100,3949,3994,3214,5766,8835,8912,6675,7082,9497,6616,9738,6079,10733,5875,5016,3249,8295,8908,6441,8112,4525,4173,7053,8818,7487,6710,6186,5094,7791,6585,3250,2647,1926,2843,4537,5308
"½Ì°¡Æ÷¸£",14516,12620,12317,12758,14425,15759,12022,12433,11778,10002,17204,19242,13606,12344,11790,9836,9742,7447,10197,11781,10066,9917,14668,14523,10906,12217,9953,9429,11164,12725,9015,10860,9131,7566,11331,10667,3187,740,910,7722,11452,12895
